Title,Price,Description,Size,Link
"AA, Technologia Wieku 5 Repair 60+ Złota Kuracja",,ujędrniający krem wzmacniający na noc skóra wrażliwa i skłonna do alergii,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/AA-Technologia-Wieku-5-Repair-60-Zlota-Kuracja-ujedrniajacy-krem-wzmacniajacy-na-noc-skora-wrazliw,291428,9223"
"AA, Technologia Wieku 5 Repair 60+ Złota Kuracja",,krem pod oczy napinająco-odżywczy,"15 ml, ","https://www.rossmann.pl/Produkt/Kremy-pod-oczy/AA-Technologia-Wieku-5-Repair-60-Zlota-Kuracja-krem-pod-oczy-napinajaco-odzywczy-15-ml,291430,9224"
"EVELINE COSMETICS, Royal Snail",,"skoncentrowany krem ultranaprawczy na dzień i na noc, cera dojrzała, 60+","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Eveline-Cosmetics-Royal-Snail-skoncentrowany-krem-ultranaprawczy-na-dzien-i-na-noc-cera-dojrzala-60,297438,9223"
"EVELINE COSMETICS, Royal Snail",,"skoncentrowany krem silnie liftingujący na dzień i na noc, cera dojrzała, 50+","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Eveline-Cosmetics-Royal-Snail-skoncentrowany-krem-silnie-liftingujacy-na-dzien-i-na-noc-cera-dojrza,297435,9223"
"EVELINE COSMETICS, Royal Snail",,"skoncentrowany krem pod oczy i na powieki intensywnie liftingujący, na dzień i na noc, 50+/70+","20 ml, ","https://www.rossmann.pl/Produkt/Kremy-pod-oczy/Eveline-Cosmetics-Royal-Snail-skoncentrowany-krem-pod-oczy-i-na-powieki-intensywnie-liftingujacy-na,297443,9224"
"L'ORÉAL PARIS, Ekspert Wieku 70+",,przeciwzmarszczkowy krem odżywczy na noc,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Ekspert-Wieku-70-przeciwzmarszczkowy-krem-odzywczy-na-noc-50-ml,258640,9223"
"JANDA, Collagen Reconstructor",,ujędrniający krem redukujący zmarszczki z naturalnym kolagenem na dzień,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Janda-Collagen-Reconstructor-ujedrniajacy-krem-redukujacy-zmarszczki-z-naturalnym-kolagenem-na-dzie,331788,9223"
"JANDA, Collagen Reconstructor",,krem pod oczy redukujący zmarszczki i cienie pod oczami,"15 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Janda-Collagen-Reconstructor-krem-pod-oczy-redukujacy-zmarszczki-i-cienie-pod-oczami-15-ml,331792,9223"
"JANDA, Collagen Reconstructor",,"odmładzające serum-odżywka na twarz, szyję i dekolt","50 ml, ","https://www.rossmann.pl/Produkt/Serum/Janda-Collagen-Reconstructor-odmladzajace-serum-odzywka-na-twarz-szyje-i-dekolt-50-ml,331796,9225"
"L'ORÉAL PARIS, Age Perfect Złoty Wiek",,"bogaty krem wzmacniający na noc, skóra dojrzała, 60+","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Age-Perfect-Zloty-Wiek-bogaty-krem-wzmacniajacy-na-noc-skora-dojrzala-60-50-ml,250871,9223"
"L'ORÉAL PARIS, Age Perfect Złoty Wiek",,"różany krem wzmacniający na dzień, skóra dojrzała i pozbawiona blasku, 60+","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Age-Perfect-Zloty-Wiek-rozany-krem-wzmacniajacy-na-dzien-skora-dojrzala-i-pozbawiona-,250869,9223"
"L'ORÉAL PARIS, Age Perfect Cell Renew",,krem na dzień rewitalizujący,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Age-Perfect-Cell-Renew-krem-na-dzien-rewitalizujacy-50-ml,390629,9223"
"L'ORÉAL PARIS, Age Perfect Cell Renew",,krem na noc regenerujący,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Age-Perfect-Cell-Renew-krem-na-noc-regenerujacy-50-ml,390631,9223"
"L'ORÉAL PARIS, Age Perfect Cell Renew",,"krem na dzień rewitalizujący, SPF 30","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Age-Perfect-Cell-Renew-krem-na-dzien-rewitalizujacy-SPF-30-50-ml,390632,9223"
"L'ORÉAL PARIS, Age Perfect Cell Renew",,krem pod oczy ,"15 ml, ","https://www.rossmann.pl/Produkt/Kremy-pod-oczy/LOreal-Paris-Age-Perfect-Cell-Renew-krem-pod-oczy-15-ml,390630,9224"
